n,c0,c1,c2,c3,c4
2,0.00062,0.0005,0.00054,0.00044,0.00044
4,0.00116,0.0011,0.00102,0.00136,0.0012
6,0.0025800000000000003,0.00319,0.00348,0.0027400000000000002,0.0022400000000000002
8,0.0052,0.00613,0.005679999999999999,0.00491,0.00385
10,0.00885,0.015790000000000002,0.0109,0.00866,0.0074800000000000005
12,0.019289999999999998,0.05682,0.03491,0.018539999999999997,0.01678
14,0.02493,0.19501,0.11558,0.02478,0.02093
16,0.0174725,0.9397804999999999,0.5905433,0.0173946,0.013228799999999999
18,0.026475299999999997,5.5289686,2.7713896,0.0450876,0.019954799999999998
20,0.0303999,17.8339701,15.151060900000001,0.053468199999999994,0.0213462
22,0.0361928,93.5265318,63.202983999999994,0.4709241,0.0236965
24,0.0465848,173.0084853,131.2661095,0.8468013,0.028845499999999996
26,0.0621262,254.1396709,158.1921863,7.7303152,0.0349849
28,0.0893843,193.984484,252.4555145,13.689453799999999,0.0415291
30,0.12212959999999999,268.0178294,369.4049069,86.0668293,0.049452199999999995
32,0.1898234,557.8864685,527.6323599,126.5752197,0.061758299999999995